bad feeling,good feeling
concretes,human illusion
countable,uncountable
emotion,intention
feeling,other
feeling,other
feeling,logic
fun,disappointing
goal,tool
good,bad
good feeling,bad feeling
good feeling,bad feeling
good subjects,bad description
good,bad
group 1,group 2
human,non-human
limited,unlimited
material,abstract
negative,positive
negative ,positive
non-abstract,abstract
non-abstract,abstract
other world,this world
positive,negative
positive,negative
positive,negative
positive,negative
positive or negative feeling,neutral word
positive,negative
practical,literature
practical,abstract
human feeling,non-humanistic
spectral,non-spectral
social humanistic,non-social
soft,hard
feeling,logic
unit,positive/negative
winner,disappointing
god,world
with reference,without reference
