waste of time,fun
alive,dead
animal insect,fruit tool insect
human related,unnecessary
edible,tool
alive,dead
mercy,zero
living,non-living
living,non-living
living,non-living
edible,other
living,non-living
living,non-living
edible,non-edible
necessary,other
living,non-living
living,non-living
edible,practical
natural,manufactured
living,non-living
fruit animal ,thing
manufactured ,god's creature
living,non-living
edible,non-edible
living,non-living
natural,thing
edible,non-edible
living,non-living
living,non-living
living,non-living
living,non-living
living,non-living
spiritual,benefit
edible,non-edible
thing,plant animal
living,non-living
in kitchen,out of kitchen
living,non-living
edible,non-edible
edible,other
