abstract,concrete
abstract,concrete
abstract,material
abstract,concrete
abstract,concrete
abstract,non-abstract
abstract reality,reality
accessible,non-accessible
alive,dead
bad,beauty 
common,practical
concept,animal thing
concept,thing
concept,tangible
concept,thing
concept,thing
concrete,mental
concrete,non-concrete
concrete,mental
concrete,mental
creature,report
destiny,difficult
doubt,smile
edible,non-edible
good feeling,other
happiness,useless
here,there
life,tool
limited,no description
living,property
mental,physical
metaphoric,tangible
natural ,unnatural
natural life,unpleasant feeling
negative ,positive
non-tangible,tangible
non-tangible,tangible
related to life,unrelated to life
tangible,thought
thought,visible
