excellent,affection,bad,neutral,god,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
positive,negative,start,good,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
religious ,rational ,human activity,description,two completely different ,positive,location,shame,mathematics,EMPTY
mental necessity,human mind,emotion,ilusions,human life ,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
effort,logic,bad,good,worry,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
with reference,emotion,logic,religional  believe,activity,start,description,EMPTY,EMPTY,EMPTY
tool,illogical,readiness,poison,necessity,path,good,season,EMPTY,EMPTY
religious,practical,friendhip,social,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
relation,economy,psychology,area,success,feeling,undefined,unknown,religion,EMPTY
name,negative ,other,abstract,positive ,religious ,EMPTY,EMPTY,EMPTY,EMPTY
positive feeling,negative feeling,philosophy,count,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
mathematics,other world,sprit,world,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
light,doubt,scale,feeling,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
status,geography,human relation,counting,property,work,lexical relation,religious,EMPTY,EMPTY
need,negative feeling,other,good feeling,goal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
bad feeling,good feeling,other,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
neutral,to make positive feeling,to make negative feeling,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
good ending,result every one gets,society,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
negative feeling,countable,punishment,positive feeling,reward,destiny,reasoning,other ,EMPTY,EMPTY
goal,logic,boundary,destiny,bad feeling,good ,EMPTY,EMPTY,EMPTY,EMPTY
contradiction,reason,virtuous,start,successful,malevolent,EMPTY,EMPTY,EMPTY,EMPTY
good,experience,count,justice,travel,place,fear,EMPTY,EMPTY,EMPTY
location ,modern life,religious,logic,story,feeling,destinity,positive feeling,EMPTY,EMPTY
contradiction,ashamed,worldy,emotion,fear,prosperity,positive,mathematics,logic,EMPTY
non-living,deductive,location,positive,negative,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
good feeling 1,good feeling 2,inner feeling,reasoning,bad feeling,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
other world,values,spritual challenge,reasoning,different,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
reason,religion,life,region,stress,friendhip,number,EMPTY,EMPTY,EMPTY
decision,geography,contradiction,believe,description,justice,quantity,feeling,inner status,EMPTY
human,mathematics,status,non-logic,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
abstract,economy,location,logic,description,effort,EMPTY,EMPTY,EMPTY,EMPTY
religious,non-religious,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
effect,one,seen,good,lesson,wind,god,blue,thought,EMPTY
neutral,negative,positive,goal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
location ,mathematic ,religious ,logic ,action,feeling,human,concrete,EMPTY,EMPTY
feeling,material,positive spritual,negative spritual,logic,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
descriptive,negative,economy,positive,process,head,neutral,EMPTY,EMPTY,EMPTY
numeral ,non-numeral,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
goal,material,spritual,bad feeling,good feeling,logic,EMPTY,EMPTY,EMPTY,EMPTY
good feeling,logic,inconsistency,bad feeling,count,cause,achievement,result,other,EMPTY
