excellent ,good,neutral,salubrious,faithful,bad 1,ugly ,bad 2,delicious,nature
tiny,tool,edible,alive,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
edible animal,non-edible animal,insect ,writing tool,necessary tool,cutlery,bird,fruit,vegetable,mushroom
animal,tool,fruit,extra,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,edible,cutlery,writing tool,necessary ,spice,home tool,EMPTY,EMPTY,EMPTY
animal,vegetable,fruit,in kitchen,"draw, writing",personal,house ,insect,EMPTY,EMPTY
four-legged,insect,bird,writing,zero,motion,soft danger,end,box,EMPTY
animal,edible,tool,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
bird,fruit,electronic tool,kitchen tool,thing,vegetable,meat eater,four-legged,insect,clean
tool,vegetable,fruit,insect,four-legged,stationery,bird,EMPTY,EMPTY,EMPTY
animal,stationery,food,tool,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
edible,animal,thing,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
tool,edible,living,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,fruit,vegetable,tool,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
tool,necessary,bird,kitchen,fruit,animal,EMPTY,EMPTY,EMPTY,EMPTY
kitchen tool,stationery,animal,fruit vegetable,with wings,other tool,EMPTY,EMPTY,EMPTY,EMPTY
edible,non-edible,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
edible,practical,other,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
pet,non-pet,non-kitchen tool ,kitchen tool,vegetable,fruit,EMPTY,EMPTY,EMPTY,EMPTY
spineless,bird,mammal,necessary tool,personal tool,cutlery,fruit,vegetable,EMPTY,EMPTY
edible animal,perceivable animal,beauty,need,vegetable,fruit,EMPTY,EMPTY,EMPTY,EMPTY
insect,bird,vegetable,fruit,thing,animal,EMPTY,EMPTY,EMPTY,EMPTY
living,tool,stationery,kitchen tool,edibles,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
insect,vegetable,kitchen tool,fruit,stationery,bedroom,pet,bird,halal meat,EMPTY
fruit,animal,thing,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
four-legged,bird,fruit,vegetable,thing,kitchen,good feeling,insect,EMPTY,EMPTY
bird,mammal,insect,fruit,vegetable,tool,EMPTY,EMPTY,EMPTY,EMPTY
fruit,thing,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
painting,living,animal,spice,personal tool,house tool,kitchen,vegetable,fruit,EMPTY
thing,animal,fruit,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
cutable tool to cut,thing,animal,painting/all of my life,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,edible,kitchen,art,thing,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
happy,hand,fresh,house,calm,color,and,loyality,mind,EMPTY
mammal,vegetable,fruit,bird,insect,kitchen tool,thing,EMPTY,EMPTY,EMPTY
thing,animal,edible,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
thing,fruit,vegetable,living,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
kitchen tool,with wings,four-legged,fruit,painting tool,house tool,fruit vegetable,EMPTY,EMPTY,EMPTY
insect,animal,plant,thing,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
insect,bird,fruit,thing,animal,vegetable,EMPTY,EMPTY,EMPTY,EMPTY
insect,bird,animal,spice,vegetable,cutlery,other,fruit,EMPTY,EMPTY
