love,close,difficulty,fear,reason,place
threat,quantity,difficulty,continous,confusion,friendhip
difficulty,process,sad,quantity,victory,tract
bad,emotion,number,religion,implication,position
bad,destiny,aim,money,fun,start
positive,negative,object,desire,description,reason
noun,description,situation,feeling-d,feeling-b,other
emotion,quantity,religion,interpersonal,abstract,aim
abstract,emotion,action,relation,religion,place
creation,infrastructures,feeling,human,choice,mean
guilt,good,commandment,new,place,association
negative,emotion,spiritual,quantity,positive,description
biblical,feeling,bank,place,court,act
spiritual,friendhip,emotion,circumstance,implication,story
moral,other,motivations,object,behaviour,emotion
biblical,action,christianity,causal,drama,capitalism
dynamics,contrast,help,frightening,abstract,quantity
good,process,causal,work,evil,addresses
travel,belief,detail,avoid,relation,fear
obstacles,family,belief,acknowledgment,reality,causality
work,numerology,guilt,act,description,bible
negative,future 1,emotion,release,treasure,future 2
neighborhood,new,society,bible,disease,landscape
positive,negative,spiritual,residence,word,result
destiny,ability,character,decision,behavior,society
bad,spiritual,emotion,quantity,good,process
emotion,process,frindship,spiritual,bad,beginning
elevation,good,movement,negative,redemption,theoretical
emotion,pressure,criticism,by-product,definition,life
great,awful,unpleasant,neutral,annoying,nice
fraterinty,home,judaism,time,poverty,me
literature,place,relationhips,emotion,negative,positive
situation,righteous,emotion,friendhip,evil,solution
help,good,negative,change,place,behavior
process,quantity,place,friendhip,end,projection
faith,emotion,quantity,negative,friendhip,positive
quantity,fear,religion,new,future,story
human,emotion,religion,bank,overdue,lecture
new,ongoing,old,over,bushy,momentary
positive,other,difficulty,quantity,help,surprise
