trial,fear,continous,close,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
joy,difficulty,start,fear,quantity,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
beautiful,reason,sad,bad,problem,enjoyable,EMPTY,EMPTY,EMPTY,EMPTY
situation,operation,number,emotion,friendhip,position,religion,EMPTY,EMPTY,EMPTY
difficulty,life,encouragement,bad,economy,good,friendhip,story,start,EMPTY
description,positive,for other it is not,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
description,situation,noun,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
quantity,emotion,abstract,religion,active,passive,israel,EMPTY,EMPTY,EMPTY
good,bad,neutral,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
adherence,process,mean,belief,values,tract,EMPTY,EMPTY,EMPTY,EMPTY
thing,chance,trial,process,shameful,help,good,EMPTY,EMPTY,EMPTY
quantity,negative,description,positive,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
place,idea,emotion,languages,civilization,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
relation,religion,conditioning,finance,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
emotion,other,behaviour,object,moral,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
causal,materialist,reacheble,spiritual,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
definition,evil,difficulty,hope,quantity,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
good,surprise,problem,quantity,place,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
end,fear,clean,material,manner,avoid,need,detail,EMPTY,EMPTY
lies,through,true,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
story,number,faith,bible,act,emotion,place,depression,EMPTY,EMPTY
emotion,future,relationship,war,power,money,beginning,fate,freedom,negative
friendhip,work,landscape,bible,new,neighborhood,illness,EMPTY,EMPTY,EMPTY
negative,positive,spiritual,address,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
work,period,ability,fear,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
good,process,bad,quantity,spiritual,mind,place,result,EMPTY,EMPTY
court,emotion,friendhip,quantity,success,process,EMPTY,EMPTY,EMPTY,EMPTY
binary,positive,process,negative,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
reward,review,relationhip,new,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
unpleasant,awful,ridiculous,pleasant,wonderful,great,nice,silly,EMPTY,EMPTY
jewish,negative,me,positive,bank,home,person,benefit,bad,result
emotion,meaning,general,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
righteous,friendhip,mean,israel,fear,luck,condition,supreme,outcome,track
negative,good,doing,place,factor,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
reason,positive,consequence,transitions,beginning,description,work,quantity,EMPTY,EMPTY
faith,act,quantity,reason,emotion,friendhip,EMPTY,EMPTY,EMPTY,EMPTY
negative,spiritual,emotional,positive,quantity,process,EMPTY,EMPTY,EMPTY,EMPTY
emotion,politics,faith,economy,action,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
positive,negative,dependent,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
negative,investment,friendhip,future,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
