animal,vegetable,static,useful,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
home,object,animal,fruit,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
tool,growth,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
vegetable,fruit,drinking,eating,animal,rain,clean,writing,EMPTY,EMPTY
kitchen,home,vegetable,animal,outside,tool,fruit,mammal,bedroom,pet
living,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
living,growth,object,mushroom,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,vegetable,object,fruit,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
living,object,growth,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
living,food,writing,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit,vegetable,animal,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
home,object,vegetable,meat,fruit,disgusting,EMPTY,EMPTY,EMPTY,EMPTY
living,growth,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
forest,object,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
living,fruit,object,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
growth,insect,accessory,mammal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
object,growth,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
growth,animal,tool,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
mammal,chickens,fruit,insect,object,tool,vegetable,EMPTY,EMPTY,EMPTY
animal,lamp,tool,umbrella,salad,juice,EMPTY,EMPTY,EMPTY,EMPTY
tool,mikulivia (mushroom),vegetable,animal,insect,fruit,rain,house,kitchen,still
animal 1,cutlery,stuff,animal 2,growth,kitchen,EMPTY,EMPTY,EMPTY,EMPTY
kitchen,fruit,vegetable,animal,room,clean,EMPTY,EMPTY,EMPTY,EMPTY
growth,still,alive,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
food,living,material,basic,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
cutlery,flying,living,water,object,fruit,vegetable,EMPTY,EMPTY,EMPTY
food,tool,hanukkah,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
invention,animal,soup,sweet,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
home,mushroom,cutlery,farm,produce,fruit,growth,pet,flying,insect
amusing,nice,funny,tasty,cutter,word,EMPTY,EMPTY,EMPTY,EMPTY
clean,mammal,mold,fruit,vegetable,flying,cutlery,object,insect,winter
food,animal,tool,accessory,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit,cutlery,animal,writing,water,vegetable,clean,farm,protection,EMPTY
metal,growth,still,animal,brush,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,growth,tool,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
still,animal,fruit,vegetable,cutlery,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit,vegetable,clean,still,tool,animal,flying,EMPTY,EMPTY,EMPTY
wings,animal,food,clean,growth,protection,tool,EMPTY,EMPTY,EMPTY
animal,growth,object,mushroom,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
object,growth,living,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
