animal,fruit,object,natural food
animal,food,house object,various object
animal,food,art object,tool
useless,cute,creativity,food
loneliness,comprehension,quite,burden
animal,work,enjoy your meal,home
food,animal,object table,object house
painter,object,animal,fruit vegetable
vegetable,animal,fruit,object
animal,farming,home,creativity
shadow,light,near,far
animal,kitchen,light shadow,home
animal,food,object,cutlery
colour,book,autumn,children
animal,fruit vegetable,thing,table
thing,food,animal,favourite thing
tool,fruit,animal,vegetable
fruit,vegetable,animal,object
fruit,animal,home,vegetable
animal,fruit vegetable,table,house object
object,animal,vegetable,fruit
object,animal,fruit,dinner
tool,animal,vegetable,non-tool
edible,animal,table object,tool
object,study object,food,animal
animal,vegetable,tool,object
animal,vegetable,creativity,utility
object,mammal,edible,flying
fruit,vegetable,animal,object
egg,spore,artificial,long
food,animal,kitchen object,bedroom object
animal,eating,object,drawing
cutterly,animal,fruit vegetable,object
fauna,fruit vegetable,useful thing,tool
insect animal,vegetable,fruit,object
phallic,wine,non-phallic,wine 2
animal,food,tool,object
animal,garden,tree,object
house thing,multicolour,culture,bedroom
animal,vegetable,home,object
