logic,opposite,quantifiable,duration,tensioni ideali,vissuti interni
positive abstract,negative abstract,religion fatalism,motivation to act,concrete,education
aim,affection,earn,meaning,vicious circle,guilt
war,geometry,quality,contraindication,determination,religion
hope,nausea celebrale,path,standard,stagnation,uncomfortable
geometry,material,me,being,gratification,non-farti abbindolare
providence,scientific,work,feeling toward someone,feeling toward herself,positive
hell,psychotherapy,rationality,bet,meeting,pray
positive,suspended,negative,motivator,word,good
belief,beauty,mathematics,analysis,emotion,contrast
wealth,poverty,coldness,rationality,flow,blindness
mathematics,sacrifice,relationhip,limit,manichean,manner
negative emotion,positive emotion,concrete,abstract,motivation,consequence
day,road,cold,door,crowd,lie
soul,abstract,help,hard,reason,non-existing
stimulus,contrast,good,soil,bad,abstract
reason for living,emotion,symbol,society,objective,positive
friendhip,objective,difficulty,wellness,decision,uncertainty
frontal cortex,economy,religion,process,negative,passivity
positive feeling,negative feeling,mathematics,economy,religion,negative word
greedy,achievement,science,religion,catholic morality,relation
religion,geometry,achievement,important,negative feeling,relation
relational emotion,mathematics,spiritual,motivation,literature,near future
coldness,unthinkable,negative,new,push,relationhip
mathematics,positive,path,negative,consequence,belief
faith,objective,reasoning,negative emotion,positive quality,concrete
religion,mathematics,unpleasant,pleasant,change,non-so come chiamare
mathematics,positive,religion,negative,work,language
neutral,positive abstract,positive,negative,negative result,motivation
feeling 1,feeling 2,freedom,useless,tight,comfortable
emotion,mathematics,positive,negative,social relation,problem
objective,positive relation,contrasting idea,performance,earn,image
way of being,abstract,concrete,human relation,religion,quarrel
uncertainty,capitalism,religion,affection,strength,art
mathematics logic,good,description,bad,unkown 1,unkown 2
relation,path,negative emotion,action,mathematics,religion
bifurcation,mind,competition,negative feeling,paradoxal,interpersonal relation
cause,effect,deterministic,relative,human,instrument
life,lightness,school,motore del mondo,religion,church
religion,mathematics,negative emotion,social interaction,optimism,concrete
