quantifiables,negative,positive,moral catholicism,logic,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
mathematics,positive abstract,religion,negative emotion,concrete,education,abstract,EMPTY,EMPTY,EMPTY
greedy,mathematics,kindness,perimeter,engage,faith,obstacle,demotivation,EMPTY,EMPTY
quality,religion,destiny,ambition,geometry,image,salary,luck,war,contraindication
intolerance,conseguences,system,necessary,empty,plasticity,reward,resignation,EMPTY,EMPTY
paths,rende davvero felici?,solo se sei alighieri,fanne tesoro sempre,sentimento,si vive per altro?,non-e' da tutti,EMPTY,EMPTY,EMPTY
positive,work,scientific,providence,negative feeling,motivation,EMPTY,EMPTY,EMPTY,EMPTY
psychotherapy,religion,gambling,meetings,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
numerals,word,positive,fear,motivation,principles,good,bad,EMPTY,EMPTY
negative,teology,emotion,ability,sacrifice,good will,capitalism,analysis,mathematics,EMPTY
human,mud,fake,grasping,trial,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
mathematics,relation,fair,moral catholicism,weight,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
abstract,negative feeling,positive feeling,concrete,consequence,motivation,EMPTY,EMPTY,EMPTY,EMPTY
mirror,exit,cold,story,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
quality,abstract,head,hard,objective,thinking,EMPTY,EMPTY,EMPTY,EMPTY
chaos,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
negative feeling,ascent,characteristic,teology,god,beauty,EMPTY,EMPTY,EMPTY,EMPTY
positive,negative,concrete,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
negative experience,quantifying,rationality,positive ,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
difficult start,consequence,belief,mathematics,negative feeling,explanation,money,religion,association,EMPTY
religion,science,relation,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
sociality,objective,relation,mathematics,embarassment,reason,social problem,error,puoi crederci o no,EMPTY
positive,negative,neutral,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
superior entity,mathematics,achivement,top 3 beautiful,wrong,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
positive,negative,mathematics,path,belief,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
quality,faith,reasoning,objective,duty,affection,concrete,concatenation,religion,activation
useless,unhelpful,helpful,mathematics,useful,religion,unpleasant inevitable,difficult inevitable,EMPTY,EMPTY
religion,war,italian,money,fatigue,happyness,mathematics,destiny,geometry,opposite
positive,abstract positive,negative,negative result,neutral,objective,EMPTY,EMPTY,EMPTY,EMPTY
tear,path,sum,pleasure,retrace,submission,EMPTY,EMPTY,EMPTY,EMPTY
emotion,interoception,mathematics,religion,D,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
christianity,negative,relation,wealth,doubt,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
countable,being,religion,negative,abstract,relation,EMPTY,EMPTY,EMPTY,EMPTY
dogma,objective,safety,economy,intrapsychic,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
genesis keyword,"mathematics, economy",feeling abstract,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
negative relation,positive relation,abstract no emotional,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
religion,school,duty,other,inner,smile,guilt,EMPTY,EMPTY,EMPTY
matter,religion,concept,soul,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
divina commedia,mathematics,capitalism,banquet,fear,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
abstract,inner emotion,social emotion,concrete,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
